false,MLS Number,Address,City/Location,State Or Province,Zip,Subdivision,Area,Market Area,Original List Price,Close Price,Close Price Adj,Lot Size,SF,Prc/SF,Price Sq Ft List,Price Sq Ft Sold,Price Sq Ft Adj Sold,Close Date,Maint Fee Amt,Maint Fee Pay Schedule,YB,BR,FB,HB,DOM,CDOM,Latitude,Longitude,Tax Year,Tax Amount,Tax Rate,School District,School Elementary,School Middle,School High,Pool Private,Ownership,Property Type,Property Sub Type
false,42021380,18610 N Lyford Drive,Katy,Texas,77449,Brenwood Sec 03,25,Bear Creek South,"$130,000","$135,000","$135,000","3,280","1,177",$114.70,$110.45,$114.70,$114.70,12/31/2021,$550,Annually,1984,3,2,1,4,4,29.862571,-95.694008,2021,"3,245",2.75,13 - Cypress-Fairbanks,MCFEE ELEMENTARY SCHOOL,THORNTON MIDDLE SCHOOL (CY-FAIR),CYPRESS LAKES HIGH SCHOOL,No,,Free Standing,
false,54081311,709 Meadow Lane,Prairie View,Texas,77445,Pine Meadows Prairie View,26,Waller,"$135,000","$135,000","$128,100","9,148","1,145",$117.90,$117.90,$117.90,$111.88,12/02/2021,,,1984,3,1,0,14,14,30.073312,-96.011283,2021,"2,211",2.81,55 - Waller,H T JONES ELEMENTARY SCHOOL,WALLER JUNIOR HIGH SCHOOL,WALLER HIGH SCHOOL,No,,Free Standing,
false,86753791,1844 Brazos Street,Hempstead,Texas,77445,Hempstead,26,Hempstead,"$159,900","$135,000","$135,000","7,501","1,051",$128.45,$152.14,$128.45,$128.45,10/12/2021,,,1967,3,1,0,9,9,30.101560,-96.088893,2020,"1,810",2.47,24 - Hempstead,HEMPSTEAD ELEMENTARY SCHOOL,HEMPSTEAD MIDDLE SCHOOL,HEMPSTEAD HIGH SCHOOL,No,,Free Standing,
false,95488279,22116 Fairground Road,Hempstead,Texas,77445,N/A,26,Waller,"$135,000","$135,000","$135,000","43,560",912,$148.03,$148.03,$148.03,$148.03,07/27/2021,,,1900,2,1,0,3,3,30.080219,-96.034629,2020,"2,082",2.08,55 - Waller,H T JONES ELEMENTARY SCHOOL,WALLER JUNIOR HIGH SCHOOL,WALLER HIGH SCHOOL,No,,Free Standing,
false,98269086,2942 Walnut Springs Drive,Katy,Texas,77449,Sundown Glen Sec 01,25,Katy - North,"$120,000","$135,100","$135,100","5,250","1,256",$107.56,$95.54,$107.56,$107.56,05/25/2021,$450,Annually,1984,3,2,0,4,4,29.810333,-95.728635,2020,"3,910",3.06,30 - Katy,STEPHENS ELEMENTARY SCHOOL (KATY),MORTON RANCH JUNIOR HIGH SCHOOL,MORTON RANCH HIGH SCHOOL,No,,Free Standing,
false,87417056,20402 Blue Beech Drive,Katy,Texas,77449,Raintree Village Sec 01 R/P &,25,Katy - North,"$139,900","$135,500","$135,500","5,775",973,$139.26,$143.78,$139.26,$139.26,01/12/2021,$396,Annually,1984,2,1,0,5,5,29.803704,-95.736861,2020,"3,157",2.77,30 - Katy,FRANZ ELEMENTARY SCHOOL,MORTON RANCH JUNIOR HIGH SCHOOL,MORTON RANCH HIGH SCHOOL,No,,Free Standing,
false,47420603,17422 Bullis Gap Drive,Hockley,Texas,77447,Ranch Country 7,35,Hockley,"$125,000","$136,600","$136,600","14,070","1,312",$104.12,$95.27,$104.12,$104.12,01/29/2021,$250,Annually,1981,3,1,0,1,1,30.020828,-95.802839,2020,"3,017",2.89,55 - Waller,ROBERTS ROAD ELEMENTARY SCHOOL,WALLER JUNIOR HIGH SCHOOL,WALLER HIGH SCHOOL,No,,Free Standing,
false,68940911,6714 Dewcrest Drive,Katy,Texas,77449,Autumn Run Sec 03,25,Bear Creek South,"$145,000","$138,000","$138,000","4,200","1,039",$132.82,$144.37,$132.82,$132.82,01/15/2021,$440,Annually,1984,3,1,1,4,4,29.873907,-95.690673,2020,"2,854",2.71,13 - Cypress-Fairbanks,JOWELL ELEMENTARY SCHOOL,KAHLA MIDDLE SCHOOL,CYPRESS SPRINGS HIGH SCHOOL,No,,Free Standing,
false,70676011,18538 N Lyford Drive,Katy,Texas,77449,Brenwood Sec 03,25,Bear Creek South,"$129,999","$140,000","$140,000","3,283",899,$155.73,$144.60,$155.73,$155.73,07/15/2021,$500,Annually,1986,2,2,0,3,3,29.862046,-95.692769,2020,"1,305",2.75,13 - Cypress-Fairbanks,MCFEE ELEMENTARY SCHOOL,THORNTON MIDDLE SCHOOL (CY-FAIR),CYPRESS LAKES HIGH SCHOOL,No,,Free Standing,
false,23814952,24330 Kennedy Ranch Lane,Hockley,Texas,77447,Ranch Country Sec 08,35,Hockley,"$149,950","$140,000","$140,000","6,300",998,$140.28,$150.25,$140.28,$140.28,08/04/2021,$250,Annually,1982,3,1,0,10,10,30.019616,-95.806010,2020,"2,815",2.87,55 - Waller,ROBERTS ROAD ELEMENTARY SCHOOL,WALLER JUNIOR HIGH SCHOOL,WALLER HIGH SCHOOL,No,,Free Standing,
false,27491461,1905 9th Street,Hempstead,Texas,77445,Clinton,26,Hempstead,"$146,200","$140,000","$131,600","12,502","2,054",$68.16,$71.18,$68.16,$64.07,03/16/2021,,,1971,3,2,0,24,24,30.086946,-96.078055,2020,"7,852",3.38,24 - Hempstead,HEMPSTEAD ELEMENTARY SCHOOL,HEMPSTEAD MIDDLE SCHOOL,HEMPSTEAD HIGH SCHOOL,No,,Free Standing,
